message_id,action,message_type,reason,confidence,evidence_message_ids
msg_017,mute,scam,Sender's domain mismatch with official domain and urgent payment request,0.9,message_0090;message_0089
msg_058,mute,spam,High forwarded_count chain message from a muted group,0.9,message_0039;message_0241;message_0078
msg_026,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,1.0,message_0032;message_0107;message_0108
msg_047,notify,event,Trusted group admin sent a time-sensitive update,1.0,message_0099;message_0029;message_0044
msg_046,mute,scam,"Unverified sender asks for OTP, indicating a potential scam.",1.0,message_0148;message_0147
msg_042,notify,urgent,Trusted group admin sent a time-sensitive update,1.0,message_0140;message_0058;message_0057
msg_079,mute,scam,Sender's domain mismatch and urgent verification request,0.9,message_0369;message_0053;message_0213
msg_098,notify,personal,Urgent direct ask from a trusted close contact,0.9,message_0359;message_0168;message_0226
msg_037,notify,urgent,trusted group admin sending a time-sensitive update,0.9,message_0130;message_0150;message_0190
msg_007,digest,event,society group update from trusted admin,0.9,message_0069;message_0070
msg_085,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,1.0,message_0221
msg_001,notify,urgent,Trusted group admin sending time-sensitive update,1.0,message_0140;message_0058;message_0240
msg_021,digest,business_update,Verified group admin sending a legitimate business update,0.9,message_0068;message_0098;message_0001
msg_028,mute,promotion,User opted out of travel promotions and has a history of dismissing messages from this sender.,0.9,message_0034;message_0112;message_0111
msg_012,mute,spam,High forwarded_count and user has muted all previous messages from this sender,0.9,message_0079;message_0247;message_0194
msg_064,mute,promotion,High forwarded_count and user has muted all previous messages from this sender,0.9,message_0024;message_0087;message_0183
msg_103,notify,personal,Direct personal request from a trusted contact,1.0,message_0065;message_0231;message_0382
msg_031,notify,event,Trusted group admin sending a time-sensitive operational update,1.0,message_0117;message_0118;message_0362
msg_057,notify,urgent,trusted group admin direct mention of user with urgent request,1.0,message_0003;message_0266;message_0169
msg_087,mute,scam,High dismissed rate and reported messages from this sender indicate a scam risk.,0.9,message_0391;message_0389;message_0164
msg_067,digest,business_update,Verified admin in a society group sending a maintenance payment update,0.9,message_0068;message_0098;message_0067
msg_039,notify,urgent,trusted group admin sent a time-sensitive direct mention,1.0,message_0364;message_0255;message_0037
msg_082,notify,urgent,Trusted group admin with direct mention of incident bridge and urgent payment issue,1.0,message_0380;message_0218;message_0397
msg_066,mute,promotion,User opted out of this sender and has dismissed most of their messages,0.9,message_0188;message_0187
msg_049,digest,business_update,Verified business with matching domain sending order update,0.9,message_0154;message_0291;message_0153
msg_015,mute,scam,Unverified sender asks for OTP verification,1.0,message_0045;message_0023;message_0174
msg_051,mute,promotion,User opted out of this sender and has dismissed all past messages,1.0,message_0257;message_0103;message_0158
msg_097,digest,personal,casual one-to-one chat with a trusted contact,1.0,message_0054;message_0225;message_0167
msg_089,digest,personal,First contact from a new sender with a casual message,0.8,none
msg_053,digest,business_update,investment tips from a trusted group admin,0.9,message_0253;message_0161;message_0411
msg_059,mute,scam,Domain mismatch and urgent payment request from unverified sender,0.9,message_0174;message_0173;message_0214
msg_024,mute,promotion,User opted out of this sender and has dismissed all past messages,1.0,message_0257;message_0103;message_0158
msg_072,mute,scam,Domain mismatch and urgent verification pressure with a link to a suspicious domain,0.9,message_0045;message_0023;message_0174
msg_036,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,0.95,message_0283;message_0127;message_0128
msg_076,mute,scam,Sender domain does not match the brand's official domain (lookalike phishing).,0.95,message_0207;message_0159;message_0208
msg_055,notify,urgent,Direct urgent request from a group member,1.0,message_0387;message_0166;message_0165
msg_102,notify,urgent,Trusted sender with a time-sensitive update,0.95,message_0371;message_0230;message_0169
msg_080,digest,event,Group admin message in a society group with no safety risk,0.9,message_0067;message_0097;message_0043
msg_093,digest,business_update,Verified business with no safety risk and user has no prior relationship,0.9,none
msg_034,mute,greeting,"User has muted, dismissed, or opted out of this sender's messages.",0.9,message_0077;message_0171;message_0123
msg_035,digest,promotion,Verified business with matching domain sending a promotional message,0.9,message_0281;message_0125;message_0126
msg_101,digest,personal,casual one-to-one chat from a trusted contact,1.0,message_0370;message_0229;message_0268
msg_041,mute,scam,Domain mismatch between sender's domain and official domain,1.0,message_0137;message_0138
msg_011,mute,greeting,High forwarded_count and user muted the group,0.9,message_0077;message_0171;message_0123
msg_110,mute,scam,"Unverified sender asks for login code, indicating a phishing attempt.",1.0,message_0238;message_0381
msg_095,mute,scam,Domain mismatch and high-risk request for wallet PIN,1.0,message_0024;message_0087;message_0183
msg_074,mute,spam,High forwarded_count and user has muted all previous messages from this sender,0.9,message_0389;message_0203;message_0204
msg_073,mute,scam,Domain mismatch and urgent verification pressure,0.9,message_0184;message_0088;message_0202
msg_054,mute,scam,"Unverified sender asking for payment via link, with a sense of urgency.",0.9,message_0163;message_0358;message_0389
msg_068,digest,personal,casual group chat from a known sender,0.9,message_0191;message_0192
msg_100,notify,urgent,Time-sensitive direct ask from a trusted contact,1.0,message_0362;message_0228;message_0117
msg_062,digest,event,society group update from trusted admin,0.9,message_0043;message_0067;message_0097
msg_096,digest,personal,Benign greeting from an unfamiliar sender with no risk signals.,0.9,none
msg_043,notify,event,trusted group admin sending time-sensitive update,0.9,message_0068;message_0098;message_0130
msg_077,notify,event,Trusted group admin sent a time-sensitive school trip update,1.0,message_0051;message_0364;message_0255
msg_081,notify,event,Trusted group admin sending a time-sensitive group update,1.0,message_0217
msg_025,digest,business_update,Verified business with matching domain sending order update,0.9,message_0239;message_0004;message_0105
msg_084,mute,scam,User opted out of loan promotions and has a history of dismissing and muting this sender's messages.,1.0,message_0220
msg_022,digest,business_update,"Verified business sending a payment update, but user has muted sender before.",0.8,message_0151;message_0149;message_0099
